Row Labels,Sum of pop_2022,,,,
18.9,1417173173,,lowest epi,4457227512,57%
19.4,54179306,,highest epi,334589956,4%
20.1,98186856,,,,
23.1,171186372,,,,
24.6,235824862,,,,
24.8,10142619,,,,
24.9,5302681,,,,
26.1,11584996,,,,
26.3,85341241,,,,
27.6,46874204,,,,
27.7,33475870,,,,
27.8,44496122,,,,
28,46969600,,,,
28.1,22459454,,,,
28.2,275501339,,,,
28.3,249088792,,,,
28.4,1449632971,,,,
28.5,22593590,,,,
28.9,115559009,,,,
29.6,61654455,,,,
30.1,16767842,,,,
30.2,27914536,,,,
30.5,48478563,,,,
30.7,12105773,,,,
30.8,54027487,,,,
31.3,929766,,,,
31.6,13859341,,,,
31.7,36653550,,,,
31.8,123379924,,,,
32.2,5489739,,,,
32.3,2305825,,,,
32.7,8605718,,,,
32.8,41937240,,,,
33,2695122,,,,
33.9,17316449,,,,
34,8848699,,,,
34.2,65497748,,,,
34.5,88550570,,,,
34.7,22181000,,,,
35,34662494,,,,
35.1,1341296,,,,
35.5,133663865,,,,
35.7,6803300,,,,
35.8,47249585,,,,
36.2,41569,,,,
36.4,2928374,,,,
36.5,10432860,,,,
36.9,99336952,,,,
37,6430770,,,,
37.1,9952787,,,,
37.2,59893885,,,,
37.4,4060745,,,,
37.5,143555736,,,,
37.7,33156369,,,,
37.9,36408820,,,,
38.1,71697030,,,,
38.2,35648100,,,,
38.4,20017675,,,,
38.5,808726,,,,
38.6,10175016,,,,
39.1,3712502,,,,
39.4,3233526,,,,
39.8,34049588,,,,
40.1,18194534,,,,
40.2,2105566,,,,
40.6,20405317,,,,
40.7,12356117,,,,
40.8,6336392,,,,
40.9,26402716,,,,
41.1,46234830,,,,
41.9,593149,,,,
42,1472233,,,,
42.2,11228821,,,,
42.4,56142897,,,,
42.5,1619229,,,,
42.7,2592477,,,,
43.6,267728138,,,,
43.8,106858,,,,
43.9,6760087,,,,
44.8,2937431,,,,
44.9,6780814,,,,
45.5,127504125,,,,
45.6,2827377,,,,
45.7,449002,,,,
45.9,618040,,,,
46.2,16320537,,,,
46.3,5180829,,,,
46.4,28301696,,,,
46.5,18001000,,,,
46.7,19603733,,,,
46.9,52244276,,,,
47.1,2775634,,,,
47.5,12333040,,,,
47.8,1531044,,,,
47.9,125438,,,,
48.2,9550600,,,,
48.3,2780469,,,,
48.5,9208701,,,,
49,131232,,,,
49.4,179857,,,,
49.6,38000000,,,,
49.7,2388992,,,,
50,39335174,,,,
50.4,10379007,,,,
50.5,4408581,,,,
50.6,37561599,,,,
50.9,8204034,,,,
51.1,333287557,,,,
51.2,72737,,,,
51.9,6465097,,,,
52.4,9534892,,,,
52.9,227380,,,,
53.2,385583,,,,
54,2630296,,,,
54.3,2057679,,,,
55.1,9683505,,,,
55.6,100060,,,,
55.9,2833000,,,,
56,18956666,,,,
56.2,10976515,,,,
56.6,47615034,,,,
56.7,5124100,,,,
57.2,125124989,,,,
57.4,5086988,,,,
57.7,58856847,,,,
58,1251488,,,,
58.2,11669446,,,,
59.3,5457127,,,,
59.9,10526073,,,,
60,5431752,,,,
60.1,25978935,,,,
60.2,3854000,,,,
61.1,1883379,,,,
61.4,1344768,,,,
62.4,84079811,,,,
62.5,67935660,,,,
62.6,17703090,,,,
62.8,381900,,,,
65.9,8769741,,,,
66.5,9042528,,,,
67.3,2108732,,,,
72.3,650774,,,,
72.7,10486941,,,,
75.2,523417,,,,
76.5,5556880,,,,
77.7,66971411,,,,
77.9,5903037,,,,
Grand Total,7790505412,,,,
