,country_name,EPI.new
0,Afghanistan,43.6
1,Angola,30.5
2,Albania,47.1
3,United Arab Emirates,52.4
4,Argentina,41.1
5,Armenia,48.3
6,Antigua and Barbuda,52.4
7,Australia,60.1
8,Austria,66.5
9,Azerbaijan,38.6
10,Burundi,30.5
11,Belgium,58.2
12,Benin,29.6
13,Burkina Faso,35.5
14,Bangladesh,23.1
15,Bulgaria,51.9
16,Bahrain,42.0
17,The Bahamas,56.2
18,Bosnia and Herzegovina,39.4
19,Belarus,48.5
20,Belize,50.0
21,Bolivia,40.1
22,Brazil,43.6
23,Barbados,53.2
24,Brunei,45.7
25,Bhutan,42.5
26,Botswana,54.0
27,Central African Republic,44.9
28,Canada,50.0
29,Switzerland,65.9
30,Chile,46.7
31,China,28.4
32,Ivory Coast,32.8
33,Cameroon,30.2
34,Democratic Republic of the Congo,36.9
35,Republic of the Congo,40.1
36,Colombia,42.4
37,Comoros,42.5
38,Cabo Verde,41.9
39,Costa Rica,46.3
40,Cuba,47.5
41,Cyprus,58.0
42,Czech Republic,59.9
43,Germany,62.4
44,Djibouti,47.5
45,Dominica,51.2
46,Denmark,77.9
47,Dominican Republic,42.2
48,Algeria,29.6
49,Ecuador,46.5
50,Egypt,35.5
51,Eritrea,31.7
52,Spain,56.6
53,Estonia,61.4
54,Ethiopia,31.8
55,Finland,76.5
56,Fiji,31.3
57,France,62.5
58,"Micronesia, Fed. Sts.",37.4
59,Gabon,49.7
60,United Kingdom,77.7
61,Georgia,39.1
62,Ghana,27.7
63,Guinea,31.6
64,Gambia,36.4
65,Guinea Bissau,40.2
66,Equatorial Guinea,44.8
67,Greece,56.2
68,Grenada,47.9
69,Guatemala,28.0
70,Guyana,38.5
71,Honduras,36.5
72,Croatia,60.2
73,Haiti,26.1
74,Hungary,55.1
75,Indonesia,28.2
76,India,18.9
77,Ireland,57.4
78,Iran,34.5
79,Iraq,27.8
80,Iceland,62.8
81,Israel,48.2
82,Italy,57.7
83,Jamaica,45.6
84,Jordan,43.6
85,Japan,57.2
86,Kazakhstan,40.9
87,Kenya,30.8
88,Kyrgyzstan,35.7
89,Cambodia,30.1
90,Kiribati,49.0
91,South Korea,46.9
92,Kuwait,42.4
93,Laos,30.7
94,Lebanon,32.2
95,Liberia,24.9
96,St. Lucia,49.4
97,Sri Lanka,34.7
98,Lesotho,32.3
99,Lithuania,55.9
100,Luxembourg,72.3
101,Latvia,61.1
102,Morocco,28.4
103,Moldova,42.7
104,Madagascar,28.0
105,Maldives,37.4
106,Mexico,45.5
107,Marshall Islands,36.2
108,North Macedonia,54.3
109,Mali,28.5
110,Malta,75.2
111,Myanmar,19.4
112,Montenegro,46.9
113,Mongolia,29.6
114,Mozambique,31.7
115,Mauritania,28.1
116,Mauritius,44.8
117,Malawi,40.6
118,Malaysia,35.0
119,Namibia,50.9
120,Niger,37.7
121,Nigeria,28.3
122,Nicaragua,37.7
123,Netherlands,62.6
124,Norway,59.3
125,Nepal,28.3
126,New Zealand,56.7
127,Oman,30.7
128,Pakistan,24.6
129,Panama,50.5
130,Peru,39.8
131,Philippines,28.9
132,Papua New Guinea,24.8
133,Poland,50.6
134,Portugal,50.4
135,Paraguay,40.9
136,Qatar,33.0
137,Romania,56.0
138,Russia,37.5
139,Rwanda,32.8
140,Saudi Arabia,37.9
141,Sudan,27.6
142,Senegal,33.9
143,Singapore,50.9
144,Solomon Islands,35.0
145,Sierra Leone,32.7
146,El Salvador,40.8
147,Serbia,43.9
148,Sao Tome and Principe,52.9
149,Suriname,45.9
150,Slovakia,60.0
151,Slovenia,67.3
152,Sweden,72.7
153,Swaziland,44.9
154,Seychelles,55.6
155,Chad,28.1
156,Togo,34.0
157,Thailand,38.1
158,Tajikistan,37.1
159,Turkmenistan,37.0
160,East Timor,35.1
161,Tonga,43.8
162,Trinidad and Tobago,47.8
163,Tunisia,40.7
164,Turkey,26.3
165,Republic of Tanzania,34.2
166,Uganda,35.8
167,Ukraine,49.6
168,Uruguay,37.4
169,United States of America,51.1
170,Uzbekistan,38.2
171,St. Vincent and the Grenadines,53.2
172,Venezuela,46.4
173,Vietnam,20.1
174,Vanuatu,36.9
175,Samoa,36.4
176,South Africa,37.2
177,Zambia,38.4
178,Zimbabwe,46.2
